x,y,z,u,v,zeta
0.021108179419525065,-0.025,0.0,0,0,0.0
0.0316622691292876,-0.025,0.0,0,0,0.0
0.04221635883905013,-0.025,0.0,0,0,0.0
0.05277044854881266,-0.025,0.0,0,0,0.0
0.0633245382585752,-0.025,0.0,0,0,0.0
0.07387862796833773,-0.025,0.0,0,0,0.0
0.08443271767810026,-0.025,0.0,0,0,0.0
0.09498680738786279,-0.025,0.0,0,0,0.0
0.10554089709762532,-0.025,0.0,0,0,0.0
0.11609498680738786,-0.025,0.0,0,0,0.0
0.1266490765171504,-0.025,0.0,0,0,0.0
0.13720316622691292,-0.025,0.0,0,0,0.0
0.14775725593667546,-0.025,0.0,0,0,0.0
0.15831134564643798,-0.025,0.0,0,0,0.0
0.16886543535620052,-0.025,0.0,0,0,0.0
0.17941952506596306,-0.025,0.0,0,0,0.0
0.18997361477572558,-0.025,0.0,0,0,0.0
0.20052770448548812,-0.025,0.0,0,0,0.0
0.21108179419525064,-0.025,0.0,0,0,0.0
0.22163588390501318,-0.025,0.0,0,0,0.0
0.23218997361477572,-0.025,0.0,0,0,0.0
0.24274406332453824,-0.025,0.0,0,0,0.0
0.2532981530343008,-0.025,0.0,0,0,0.0
0.2638522427440633,-0.025,0.0,0,0,0.0
0.27440633245382584,-0.025,0.0,0,0,0.0
0.28496042216358836,-0.025,0.0,0,0,0.0
0.2955145118733509,-0.025,0.0,0,0,0.0
0.30606860158311344,-0.025,0.0,0,0,0.0
0.31662269129287596,-0.025,0.0,0,0,0.0
0.32717678100263853,-0.025,0.0,0,0,0.0
0.33773087071240104,-0.025,0.0,0,0,0.0
0.34828496042216356,-0.025,0.0,0,0,0.0
0.35883905013192613,-0.025,0.0,0,0,0.0
0.36939313984168864,-0.025,0.0,0,0,0.0
0.37994722955145116,-0.025,0.0,0,0,0.0
0.39050131926121373,-0.025,0.0,0,0,0.0
0.40105540897097625,-0.025,0.0,0,0,0.0
0.41160949868073876,-0.025,0.0,0,0,0.0
0.4221635883905013,-0.025,0.0,0,0,0.0
0.43271767810026385,-0.025,0.0,0,0,0.0
0.44327176781002636,-0.025,0.0,0,0,0.0
0.4538258575197889,-0.025,0.0,0,0,0.0
0.46437994722955145,-0.025,0.0,0,0,0.0
0.47493403693931396,-0.025,0.0,0,0,0.0
0.4854881266490765,-0.025,0.0,0,0,0.0
0.49604221635883905,-0.025,0.0,0,0,0.0
0.5065963060686016,-0.025,0.0,0,0,0.0
0.5171503957783641,-0.025,0.0,0,0,0.0
0.5277044854881267,-0.025,0.0,0,0,0.0
0.5382585751978891,-0.025,0.0,0,0,0.0
0.5488126649076517,-0.025,0.0,0,0,0.0
0.5593667546174143,-0.025,0.0,0,0,0.0
0.5699208443271767,-0.025,0.0,0,0,0.0
0.5804749340369393,-0.025,0.0,0,0,0.0
0.5910290237467019,-0.025,0.0,0,0,0.0
0.6015831134564643,-0.025,0.0,0,0,0.0
0.6121372031662269,-0.025,0.0,0,0,0.0
0.6226912928759895,-0.025,0.0,0,0,0.0
0.6332453825857519,-0.025,0.0,0,0,0.0
0.6437994722955145,-0.025,0.0,0,0,0.0
0.6543535620052771,-0.025,0.0,0,0,0.0
0.6649076517150395,-0.025,0.0,0,0,0.0
0.6754617414248021,-0.025,0.0,0,0,0.0
0.6860158311345647,-0.025,0.0,0,0,0.0
0.6965699208443271,-0.025,0.0,0,0,0.0
0.7071240105540897,-0.025,0.0,0,0,0.0
0.7176781002638523,-0.025,0.0,0,0,0.0
0.7282321899736147,-0.025,0.0,0,0,0.0
0.7387862796833773,-0.025,0.0,0,0,0.0
0.7493403693931399,-0.025,0.0,0,0,0.0
0.7598944591029023,-0.025,0.0,0,0,0.0
0.7704485488126649,-0.025,0.0,0,0,0.0
0.7810026385224275,-0.025,0.0,0,0,0.0
0.7915567282321899,-0.025,0.0,0,0,0.0
0.8021108179419525,-0.025,0.0,0,0,0.0
0.8126649076517151,-0.025,0.0,0,0,0.0
0.8232189973614775,-0.025,0.0,0,0,0.0
0.8337730870712401,-0.025,0.0,0,0,0.0
0.8443271767810026,-0.025,0.0,0,0,0.0
0.8548812664907651,-0.025,0.0,0,0,0.0
0.8654353562005277,-0.025,0.0,0,0,0.0
0.8759894459102902,-0.025,0.0,0,0,0.0
0.8865435356200527,-0.025,0.0,0,0,0.0
0.8970976253298153,-0.025,0.0,0,0,0.0
0.9076517150395778,-0.025,0.0,0,0,0.0
0.9182058047493403,-0.025,0.0,0,0,0.0
0.9287598944591029,-0.025,0.0,0,0,0.0
0.9393139841688654,-0.025,0.0,0,0,0.0
0.9498680738786279,-0.025,0.0,0,0,0.0
0.9604221635883905,-0.025,0.0,0,0,0.0
0.970976253298153,-0.025,0.0,0,0,0.0
0.021108179419525065,-0.037500000000000006,0.0,0,0,0.0
0.0316622691292876,-0.037500000000000006,0.0,0,0,0.0
0.04221635883905013,-0.037500000000000006,0.0,0,0,0.0
0.05277044854881266,-0.037500000000000006,0.0,0,0,0.0
0.0633245382585752,-0.037500000000000006,0.0,0,0,0.0
0.07387862796833773,-0.037500000000000006,0.0,0,0,0.0
0.08443271767810026,-0.037500000000000006,0.0,0,0,0.0
0.09498680738786279,-0.037500000000000006,0.0,0,0,0.0
0.10554089709762532,-0.037500000000000006,0.0,0,0,0.0
0.11609498680738786,-0.037500000000000006,0.0,0,0,0.0
0.1266490765171504,-0.037500000000000006,0.0,0,0,0.0
0.13720316622691292,-0.037500000000000006,0.0,0,0,0.0
0.14775725593667546,-0.037500000000000006,0.0,0,0,0.0
