"Points:0","Points:1","Points:2","arc_length","raw_data_1","raw_data_2","u","v","zeta"
0.970976,0.823218997361,0,0,3,4,-0.0123740793713,-0.200945966828,0
0.970976,0.823218744063,0,2.53298153008e-07,3.000006,4,-0.0123726435438,-0.200944857456,5.65260685186e-09
0.970976,0.812664907652,0,0.0105540897098,3.000006,4,0.0629572311461,-0.208491269911,5.65260685186e-09
0.970976,0.812664654354,0,0.0105543430079,3,4,0.0629569796301,-0.208491028589,-4.06291408218e-08
0.970976,0.802110817942,0,0.0211081794195,3,4.249994,0.0552074368524,-0.198992534514,-4.06291408218e-08
0.970976,0.802110564644,0,0.0211084327177,3.000006,4.249994,0.0552064666073,-0.198992583389,-1.91513503821e-08
0.970976,0.791556728232,0,0.0316622691293,3.499994,4.499988,0.00420426250009,-0.146382075767,-1.91513503821e-08
0.970976,0.791556474934,0,0.0316625224274,3.499994,4.499994,0.00420428330162,-0.146381371188,4.76244256935e-09
0.970976,0.781002638522,0,0.0422163588391,3.749988,4.499994,0.0128406921465,-0.131306041106,4.76244256935e-09
0.970976,0.781002385224,0,0.0422166121372,3.750006,4.500012,0.0128406761413,-0.131306536254,-1.75509989559e-08
0.970976,0.770448548813,0,0.0527704485488,3.750006,4.500012,0.0157366605305,-0.168630709167,-1.75509989559e-08
0.970976,0.770448295515,0,0.052770701847,3.750012,4.500018,0.0157362659132,-0.168631260521,-3.58247756264e-08
0.970976,0.759894459103,0,0.0633245382586,3.250024,4.250024,0.00594030265286,-0.201856290579,-3.58247756264e-08
0.970976,0.759894205805,0,0.0633247915567,3.249994,4.249994,0.00593978462752,-0.201856329753,-5.18812257587e-08
0.970976,0.749340369393,0,0.0738786279683,4.749958,5.749958,-0.0150940116402,-0.223517021016,-5.18812257587e-08
0.970976,0.749340116095,0,0.0738788812665,4.749964,5.74997,-0.0150955215137,-0.223517949975,-4.18893297835e-08
0.970976,0.738786279683,0,0.0844327176781,3.25,4.5,-0.0620605482446,-0.28009458024,-4.18893297835e-08
0.970976,0.738786026385,0,0.0844329709763,3.250012,4.499994,-0.0620607109163,-0.280095908435,-3.13378922583e-08
0.970976,0.728232189974,0,0.0949868073879,3.75,4.000006,-0.0971201886704,-0.313926212651,-3.13378922583e-08
0.970976,0.728231936675,0,0.094987060686,3.749994,4.000012,-0.0971215081056,-0.313928002131,1.94927656846e-08
